"Id","Sales"
1,4073.03
24825,4553.73
5993,3456.08
37665,4959.09
18833,3687.3
12841,4857.52
19689,3374.01
857,4276.67
15409,4189.21
38521,5976.76
13697,5251.56
7705,3580.57
39377,4155.25
20545,4230.99
1713,4633.28
16265,4497.05
33385,4171.81
27393,4112.26
2569,5057.56
40233,4935.51
21401,4214.64
35953,4548.76
34241,3864.06
3425,4012.37
22257,4181.2
9417,3478.75
30817,3483.76
10273,4127.59
35097,4300.63
23113,3891.81
4281,4210.32
14553,6434.54
8561,3705.98
29961,3512.89
25681,4890.58
5137,3544.79
23969,4344.55
36809,4871.08
17977,3497.55
26537,5745.02
11985,5036.25
6849,3520.65
17121,3839.3
29105,3780.07
32529,3798.79
11129,4027.94
31673,3493.41
28249,4295.94
23970,7453.03
1714,9074.14
24826,8463.83
18834,5766.75
38522,10148.5
5994,5859.65
35954,7677.23
2,7551.67
39378,3740.63
4282,3678.77
29106,5878.53
8562,6127.72
9418,3399.27
25682,8652.59
19690,5266.46
34242,3822.73
16266,4826.7
22258,3511.04
26538,10181.7
20546,5537.6
10274,3900.09
30818,5798.91
37666,8672.22
33386,3708.37
14554,11834.1
858,8270.09
21402,3474.82
2570,9342.68
11130,6215.1
5138,5516.78
40234,4471.93
32530,5654.37
36810,8432.31
11986,8219.7
15410,3841.99
35098,7378.53
29962,5687.05
23114,7151.88
17978,5530.57
31674,5926.18
28250,3594.81
6850,6139.09
13698,8587.59
27394,3376.28
7706,6047.44
17122,6305.28
12842,8795.64
3426,3178.38
4283,6156.25
23971,10304.4
24827,11163.2
1715,10863.3
8563,9191.62
5995,7777.53
29107,9783.38
38523,15054.6
34243,7643.39
22259,6912.12
35955,11037.1
3,8930.16
20547,9763.07
39379,4347.41
16267,7601.96
26539,13933.9
23115,10477.8
18835,8702.03
25683,12641.4
37667,12368.1
859,9394.11
17123,10233.2
5139,8410.43
19691,8715.11
9419,3537.78
7707,8563.8
11987,10231.6
10275,6308.23
35099,11911.3
33387,4771.1
14555,15563.9
21403,4706.31
2571,12811.7
11131,7675.33
29963,7536.48
15411,4465.12
28251,6941.06
32531,10644.9
13699,12901.8
36811,11104.3
30819,8901.04
40235,8207.07
6851,7541.78
12843,10481
27395,4516.41
17979,9407.49
3427,3888.96
31675,10228.2
860,7319.07
24828,6782.46
5996,6418.43
4284,3715.28
26540,8924.18
23972,7535.36
1716,8144.24
28252,3372.14
4,7722.7
23116,5870.3
37668,7393.52
16268,3944.13
35956,7698.35
11132,4870.35
19692,4865.86
5140,5664.79
22260,3264.81
32532,5636.29
11988,8091.47
30820,5329.25
39380,3494.55
10276,3388.52
33388,3483.34
14556,10152.7
40236,3977.81
25684,7554.39
6852,5238.7
17124,5315.66
34244,3435.88
15412,4371.83
3428,3589.32
20548,5519.24
9420,3014.54
17980,6071.5
21404,3456.58
35100,6205.05
7708,5560.49
8564,6041.57
29108,5167.78
2572,9988.14
29964,5627.4
36812,7014.37
38524,9487.56
27396,3466.24
13700,8875.4
31676,5312.45
12844,7750.79
18836,5135.61
16269,6077.24
23973,7939.51
4285,5875.9
11989,7815.32
11133,6523.23
861,7592.96
23117,7642.81
1717,8119.92
5997,5976.77
5,7244.94
17125,6582.1
34245,5856.77
22261,5620.4
21405,3447.94
26541,11546.8
9421,3133.35
30821,6100.93
10277,6023.27
35101,7277.41
33389,3538.03
35957,7551.5
5141,6110.49
12845,8863.82
6853,6139.59
36813,7641.99
20549,7456.15
3429,3097.39
32533,7065.24
2573,10860.2
8565,7441.96
24829,8396.92
29109,6425.66
18837,6366.2
25685,8580.01
15413,2807.76
40237,6472.35
38525,11680.6
7709,6244.31
17981,6166.89
39381,3167.86
27397,3319.33
29965,5508.68
31677,6134.51
19693,5790.34
14557,12599.1
28253,5804.87
13701,9333.11
37669,8095.63
24830,5557.84
34246,5007.03
35102,5999.18
10278,4757.57
20550,5604.84
5142,5499.08
16270,4846.08
22262,4715.88
15414,4929.21
30822,4727
11990,6076.99
6,5709.48
11134,4580.05
8566,5750.84
862,5945.14
29966,4238.38
13702,6834.21
17126,5060.84
26542,7197.75
39382,4803.33
1718,6548.15
17982,4557.18
33390,5086.42
27398,4602.14
29110,5253.14
2574,7557.08
19694,4538.93
40238,5474.09
35958,5967.74
3430,4939.98
28254,5014.39
9422,4384.28
32534,5246.19
36814,5756.34
18838,4787.08
23118,5690.69
4286,5104.23
