"Id","Sales"
1,4055.16
24825,4674.71
5993,3455.54
37665,5013.35
18833,3648.83
12841,5259.01
19689,3340.54
857,4289.99
15409,5167.15
38521,5800.74
13697,5248.29
7705,3593.8
39377,5494.85
20545,3521.13
1713,4684.2
16265,4124.23
33385,4832.2
27393,4895.4
2569,4987.18
40233,4872.48
21401,4542.62
35953,4540.35
34241,4119.88
3425,4744.55
22257,3864.19
9417,4230.83
30817,3566.41
10273,4176.63
35097,4416.26
23113,4155.14
4281,4023.68
14553,5606.51
8561,3936.25
29961,3304.44
25681,5005.59
5137,3562.15
23969,4462.05
36809,4880.11
17977,3653.97
26537,5669.01
11985,4809.1
6849,3626.5
17121,4046.6
29105,3711
32529,3951.47
11129,4604.28
31673,3567.54
28249,4201.19
23970,7445.86
1714,8970.15
24826,8051.15
18834,5497.71
38522,9895.2
5994,5617.42
35954,7536.82
2,7271.58
39378,4243.62
4282,3856.51
29106,5431.72
8562,5961.45
9418,3509.54
25682,8801.7
19690,5118.19
34242,3998.47
16266,4472.85
22258,3597.46
26538,9900.55
20546,5029.08
10274,4021.86
30818,5811.58
37666,8242.01
33386,4084.9
14554,11294.3
858,8120.52
21402,3805.18
2570,9727.72
11130,7247.98
5138,5551.15
40234,4353.05
32530,5890.33
36810,8030.2
11986,7733.1
15410,4341.91
35098,7277.26
29962,5199.46
23114,6866.95
17978,5649.45
31674,5860.4
28250,3858.29
6850,5892.99
13698,8997.09
27394,3778.61
7706,5908.68
17122,6338.23
12842,8368.17
3426,3841.26
4283,6100.29
23971,10526.4
24827,10906.6
1715,11428.3
8563,9509.02
5995,8157.78
29107,9849.84
38523,15075.3
34243,7487.78
22259,6670
35955,10559.1
3,8920.97
20547,8815.2
39379,5089.62
16267,7657.31
26539,14408.9
23115,10804.6
18835,9002
25683,12332.2
37667,12309.3
859,9605.05
17123,10663.3
5139,8489.03
19691,8566.56
9419,3930.08
7707,8963.05
11987,9694.89
10275,5930.71
35099,11072.6
33387,4883.11
14555,15024
21403,4716.27
2571,12614.8
11131,9747.17
29963,8433.39
15411,4920.87
28251,7083.15
32531,10464.6
13699,12825.5
36811,10933.4
30819,9476.13
40235,7748.61
6851,8358.02
12843,10942
27395,4827.56
17979,9118.97
3427,4204.07
31675,10099.1
860,7192.1
24828,6905.78
5996,6087.39
4284,3546.36
26540,8991.91
23972,7486.73
1716,8210.14
28252,3402.22
4,7587.44
23116,5962.7
37668,7352.55
16268,3896.16
35956,7264.41
11132,6043.14
19692,4829.35
5140,5372.52
22260,3240.71
32532,5704.75
11988,7667.47
30820,5273.89
39380,4099.32
10276,3439.08
33388,3712.59
14556,9879.9
40236,3834.83
25684,7529.19
6852,5294.35
17124,5551.57
34244,3420.29
15412,4634.85
3428,4035.07
20548,4936.23
9420,3461
17980,5839.54
21404,3904.7
35100,6220.73
7708,5514.67
8564,6136.46
29108,4902.83
2572,9686.5
29964,5483.99
36812,6799.54
38524,9157.05
27396,3840.2
13700,8792
31676,5338.48
12844,7811.84
18836,5152.11
16269,6711.8
23973,8173.83
4285,6124.49
11989,7948.08
11133,7600.35
861,7543.1
23117,7532.48
1717,8242.64
5997,5927.54
5,7054.07
17125,6900.85
34245,6407.46
22261,6018.53
21405,4130.21
26541,11453.1
9421,3791.84
30821,6053.99
10277,5911.46
35101,7409.97
33389,4315.84
35957,7462.6
5141,6054.18
12845,8942.71
6853,6113.17
36813,7505.54
20549,5888.16
3429,4131.12
32533,6855.59
2573,10725.6
8565,7407.01
24829,8319.44
29109,6249.88
18837,6089.88
25685,8936
15413,4339.03
40237,6422.53
38525,11286.8
7709,6198.01
17981,6363.35
39381,4119.43
27397,4299.09
29965,5277.4
31677,5964.69
19693,5781.95
14557,10734.1
28253,6498.66
13701,9485.41
37669,8233.79
24830,5595.6
34246,4882.7
35102,5724.21
10278,4873.59
20550,4794.36
5142,5261.68
16270,4861.61
